,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,test,PDNetwork,23,"M,F",0.27113702623906705,0.1610738255033557,0.5703712691094395,0.4327698112211918,0.6105314244115506,0.08823529411764706,0.9230769230769231,0.013960848562419415,50,207462,7
362,PD,test,PDNetwork,362,"M,F",0.16909620991253643,0.1543026706231454,0.5504731861198738,0.46599889381567966,0.6105314244115506,0.08360128617363344,1.0,0.015397368930280209,50,207462,7
191,PD,test,PDNetwork,191,"M,F",0.3323615160349854,0.16727272727272727,0.5858408153360835,0.41706385983494415,0.6105314244115506,0.09236947791164658,0.8846153846153846,0.02653573453426361,15,207462,7
80,PD,test,PDNetwork,80,"M,F",0.46938775510204084,0.17272727272727273,0.5893593787915554,0.34875601991107985,0.6105314244115506,0.0979381443298969,0.7307692307692307,0.02054869383573532,24,207462,7
769,PD,test,PDNetwork,769,"M,F",0.7959183673469388,0.2857142857142857,0.677748119388498,0.3081439535521168,0.6105314244115506,0.19444444444444445,0.5384615384615384,0.031029047444462776,16,207462,7
328,PD,test,PDNetwork,328,"M,F",0.12244897959183673,0.14730878186968838,0.525236593059937,0.4639536024108201,0.6105314244115506,0.07951070336391437,1.0,0.01740759238600731,50,207462,7
204,PD,test,PDNetwork,204,"M,F",0.46647230320699706,0.14084507042253522,0.5171681630672167,0.26880172648479966,0.6105314244115506,0.08021390374331551,0.5769230769230769,0.024622568860650063,23,207462,7
281,PD,test,PDNetwork,281,"M,F",0.27113702623906705,0.16666666666666666,0.5880247512739627,0.45204564540181996,0.6105314244115506,0.09124087591240876,0.9615384615384616,0.015280984342098236,50,207462,7
841,PD,test,PDNetwork,841,"M,F",0.18658892128279883,0.13622291021671826,0.48932297985925743,,0.6105314244115506,0.07407407407407407,0.8461538461538461,0.01966547593474388,19,207462,7
31,PD,test,PDNetwork,31,"M,F",0.6064139941690962,0.19161676646706588,0.6105314244115506,0.3032054065488716,0.6105314244115506,0.11347517730496454,0.6153846153846154,0.023155195638537407,20,207462,7
