,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,AD,validation,ADNetwork,23,"M,F",0.34110787172011664,0.2662337662337662,0.5735983018591714,0.3970742912878015,0.7760576782315913,0.15648854961832062,0.8913043478260869,0.017199989408254623,50,207462,7
362,AD,validation,ADNetwork,362,"M,F",0.8600583090379009,0.5384615384615384,0.753842775581906,0.437855416315166,0.7760576782315913,0.4827586206896552,0.6086956521739131,0.028981341049075127,39,207462,7
191,AD,validation,ADNetwork,191,"M,F",0.20699708454810495,0.24022346368715083,0.5145293514858733,0.4065639514286365,0.7760576782315913,0.13782051282051283,0.9347826086956522,0.01647443138062954,50,207462,7
80,AD,validation,ADNetwork,80,"M,F",0.31486880466472306,0.26791277258566976,0.5768189137754356,0.41583551320019824,0.7760576782315913,0.15636363636363637,0.9347826086956522,0.01538265123963356,50,207462,7
769,AD,validation,ADNetwork,769,"M,F",0.8658892128279884,0.5660377358490566,0.7755819060166886,0.46529978451007736,0.7760576782315913,0.5,0.6521739130434783,0.8189964294433594,50,207462,7
328,AD,validation,ADNetwork,328,"M,F",0.8688046647230321,0.5263157894736842,0.7313350900307423,0.42334262897705666,0.7760576782315913,0.5102040816326531,0.5434782608695652,0.024886813014745712,42,207462,7
204,AD,validation,ADNetwork,204,"M,F",0.41690962099125367,0.2805755395683453,0.5989972185624359,0.3840580620768333,0.7760576782315913,0.16810344827586207,0.8478260869565217,0.0189517755061388,50,207462,7
281,AD,validation,ADNetwork,281,"M,F",0.8950437317784257,0.5909090909090909,0.7556726687161469,0.48717623695440904,0.7760576782315913,0.6190476190476191,0.5652173913043478,0.8886901140213013,50,207462,7
841,AD,validation,ADNetwork,841,"M,F",0.14285714285714285,0.234375,0.49586444151661546,,0.7760576782315913,0.13313609467455623,0.9782608695652174,0.016586409881711006,50,207462,7
31,AD,validation,ADNetwork,31,"M,F",0.7871720116618076,0.48951048951048953,0.7760576782315913,0.4427713519934451,0.7760576782315913,0.36082474226804123,0.7608695652173914,0.023452777415513992,26,207462,7
