,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,CN,validation,CNNetwork,23,"M,F",0.47230320699708456,0.6252587991718427,0.5193602693602694,0.2751366089403432,0.50998075998076,0.45896656534954405,0.9805194805194806,0.0578729473054409,50,207462,7
362,CN,validation,CNNetwork,362,"M,F",0.47230320699708456,0.6268041237113402,0.51996151996152,0.27704960432008957,0.50998075998076,0.459214501510574,0.987012987012987,0.08615382760763168,50,207462,7
191,CN,validation,CNNetwork,191,"M,F",0.5393586005830904,0.6308411214953271,0.5705868205868205,0.2633792544413727,0.50998075998076,0.4927007299270073,0.8766233766233766,0.11015269160270691,50,207462,7
80,CN,validation,CNNetwork,80,"M,F",0.4518950437317784,0.6194331983805668,0.5020442520442521,0.274231380864034,0.50998075998076,0.45,0.9935064935064936,0.06326229870319366,50,207462,7
769,CN,validation,CNNetwork,769,"M,F",0.446064139941691,0.6169354838709677,0.4967532467532468,,0.50998075998076,0.4473684210526316,0.9935064935064936,0.05583101883530617,50,207462,7
328,CN,validation,CNNetwork,328,"M,F",0.446064139941691,0.6169354838709677,0.4967532467532468,,0.50998075998076,0.4473684210526316,0.9935064935064936,0.07020794600248337,50,207462,7
204,CN,validation,CNNetwork,204,"M,F",0.45481049562682213,0.6206896551724138,0.5046897546897547,0.2748950976781932,0.50998075998076,0.45132743362831856,0.9935064935064936,0.09474679827690125,50,207462,7
281,CN,validation,CNNetwork,281,"M,F",0.4489795918367347,0.6181818181818182,0.49939874939874945,,0.50998075998076,0.44868035190615835,0.9935064935064936,0.04919041320681572,50,207462,7
841,CN,validation,CNNetwork,841,"M,F",0.673469387755102,0.7128205128205128,0.6946849446849447,0.31867652409852343,0.50998075998076,0.5889830508474576,0.9025974025974026,0.11266227066516876,50,207462,7
31,CN,validation,CNNetwork,31,"M,F",0.4606413994169096,0.6232179226069247,0.50998075998076,0.2762343482230844,0.50998075998076,0.4540059347181009,0.9935064935064936,0.06472604721784592,50,207462,7
