,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,EMCI,validation,EMCINetwork,23,"M,F",0.6151603498542274,0.6544502617801047,0.6520629370629372,0.3078986592777046,0.7721328671328671,0.5230125523012552,0.8741258741258742,0.03170192614197731,50,207462,7
362,EMCI,validation,EMCINetwork,362,"M,F",0.6239067055393586,0.6614173228346457,0.6605594405594406,0.3131370430289998,0.7721328671328671,0.5294117647058824,0.8811188811188811,0.036458440124988556,50,207462,7
191,EMCI,validation,EMCINetwork,191,"M,F",0.8104956268221575,0.7601476014760148,0.7976398601398602,0.4038830270494811,0.7721328671328671,0.8046875,0.7202797202797203,0.1736074984073639,50,207462,7
80,EMCI,validation,EMCINetwork,80,"M,F",0.8017492711370262,0.7655172413793103,0.7981118881118882,0.39540051784949737,0.7721328671328671,0.7551020408163265,0.7762237762237763,0.5412305593490601,50,207462,7
769,EMCI,validation,EMCINetwork,769,"M,F",0.760932944606414,0.7354838709677419,0.7661013986013985,0.3652831953577401,0.7721328671328671,0.6826347305389222,0.7972027972027972,0.051991529762744904,50,207462,7
328,EMCI,validation,EMCINetwork,328,"M,F",0.7784256559766763,0.7342657342657343,0.7721328671328671,0.3727496992803115,0.7721328671328671,0.7342657342657343,0.7342657342657343,0.8124428391456604,50,207462,7
204,EMCI,validation,EMCINetwork,204,"M,F",0.7580174927113703,0.7296416938110749,0.7616083916083917,0.3613516896244622,0.7721328671328671,0.6829268292682927,0.7832167832167832,0.056269314140081406,25,207462,7
281,EMCI,validation,EMCINetwork,281,"M,F",0.749271137026239,0.7207792207792207,0.7531118881118881,0.35421313380497055,0.7721328671328671,0.6727272727272727,0.7762237762237763,0.09294146299362183,22,207462,7
841,EMCI,validation,EMCINetwork,841,"M,F",0.793002915451895,0.7526132404181185,0.7876223776223776,0.38673316479438924,0.7721328671328671,0.75,0.7552447552447552,0.17428261041641235,30,207462,7
31,EMCI,validation,EMCINetwork,31,"M,F",0.7784256559766763,0.7342657342657343,0.7721328671328671,0.3727496992803115,0.7721328671328671,0.7342657342657343,0.7342657342657343,0.15002328157424927,50,207462,7
