,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,FTD,validation,FTDNetwork,23,"M,F",0.793002915451895,0.3364485981308411,0.843188854489164,0.49805468985623813,0.7722136222910216,0.20689655172413793,0.9,0.018287505954504013,50,207462,7
362,FTD,validation,FTDNetwork,362,"M,F",0.8571428571428571,0.4235294117647059,0.8772445820433437,0.5330679524557076,0.7722136222910216,0.27692307692307694,0.9,0.023980746045708656,50,207462,7
191,FTD,validation,FTDNetwork,191,"M,F",0.7142857142857143,0.26865671641791045,0.8013931888544892,0.4735537824152217,0.7722136222910216,0.15789473684210525,0.9,0.02596733719110489,50,207462,7
80,FTD,validation,FTDNetwork,80,"M,F",0.9650145772594753,0.7142857142857143,0.8641640866873065,0.6648886827458257,0.7722136222910216,0.6818181818181818,0.75,0.08970407396554947,50,207462,7
769,FTD,validation,FTDNetwork,769,"M,F",0.8775510204081632,0.4166666666666667,0.8177244582043345,0.4682103610675039,0.7722136222910216,0.28846153846153844,0.75,0.027129942551255226,50,207462,7
328,FTD,validation,FTDNetwork,328,"M,F",0.9737609329446064,0.7567567567567568,0.8453560371517027,0.7122020236666095,0.7722136222910216,0.8235294117647058,0.7,0.3977617621421814,50,207462,7
204,FTD,validation,FTDNetwork,204,"M,F",0.8571428571428571,0.3950617283950617,0.8303405572755418,0.4786694068728194,0.7722136222910216,0.26229508196721313,0.8,0.031145691871643066,50,207462,7
281,FTD,validation,FTDNetwork,281,"M,F",0.8658892128279884,0.425,0.85843653250774,0.5127308066083576,0.7722136222910216,0.2833333333333333,0.85,0.051630355417728424,50,207462,7
841,FTD,validation,FTDNetwork,841,"M,F",0.880466472303207,0.4675324675324675,0.8896284829721361,0.5525011508362744,0.7722136222910216,0.3157894736842105,0.9,0.032570116221904755,50,207462,7
31,FTD,validation,FTDNetwork,31,"M,F",0.6151603498542274,0.2235294117647059,0.7722136222910216,0.48148202137998053,0.7722136222910216,0.12666666666666668,0.95,0.019260946661233902,50,207462,7
