,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,MCI,validation,MCINetwork,23,"M,F",0.7725947521865889,0.6976744186046512,0.7521853146853147,0.36633951673880694,0.7701573426573427,0.782608695652174,0.6293706293706294,0.9283182621002197,50,207462,7
362,MCI,validation,MCINetwork,362,"M,F",0.6647230320699709,0.6666666666666666,0.6845979020979021,0.31065807298379533,0.7701573426573427,0.5693069306930693,0.8041958041958042,0.08265966176986694,50,207462,7
191,MCI,validation,MCINetwork,191,"M,F",0.8134110787172012,0.7647058823529411,0.8011363636363636,0.4066788297922612,0.7701573426573427,0.8062015503875969,0.7272727272727273,0.08456654846668243,50,207462,7
80,MCI,validation,MCINetwork,80,"M,F",0.793002915451895,0.7593220338983051,0.7916083916083917,0.38830932762189474,0.7701573426573427,0.7368421052631579,0.7832167832167832,0.6107951402664185,50,207462,7
769,MCI,validation,MCINetwork,769,"M,F",0.7288629737609329,0.7084639498432602,0.7376048951048952,0.3429497798120247,0.7701573426573427,0.6420454545454546,0.7902097902097902,0.05378088355064392,33,207462,7
328,MCI,validation,MCINetwork,328,"M,F",0.4139941690962099,0.5855670103092784,0.4965034965034965,,0.7701573426573427,0.4152046783625731,0.993006993006993,0.07135084271430969,23,207462,7
204,MCI,validation,MCINetwork,204,"M,F",0.7725947521865889,0.7364864864864865,0.771118881118881,0.36998109267016827,0.7701573426573427,0.7124183006535948,0.7622377622377622,0.10672468692064285,17,207462,7
281,MCI,validation,MCINetwork,281,"M,F",0.760932944606414,0.7007299270072993,0.7481643356643355,0.3536800479470677,0.7701573426573427,0.732824427480916,0.6713286713286714,0.08783961832523346,18,207462,7
841,MCI,validation,MCINetwork,841,"M,F",0.7988338192419825,0.7752442996742671,0.8035839160839161,0.39696459588196764,0.7701573426573427,0.725609756097561,0.8321678321678322,0.048554468899965286,30,207462,7
31,MCI,validation,MCINetwork,31,"M,F",0.7842565597667639,0.725925925925926,0.7701573426573427,0.37717216095811623,0.7701573426573427,0.7716535433070866,0.6853146853146853,0.7119917273521423,35,207462,7
