,target,data,architecture,random_state,Gender,accuracy,f1_score,AUC_ROC,AUC_PR,balanced_accuracy_score,precision_score,recall_score,threshold,EarlyStopping,total_neurons,total_layers
23,PD,validation,PDNetwork,23,"M,F",0.2478134110787172,0.1568627450980392,0.557752972579471,0.4315093070195111,0.6921863625333657,0.08571428571428572,0.9230769230769231,0.013960848562419415,50,207462,7
362,PD,validation,PDNetwork,362,"M,F",0.18075801749271136,0.1510574018126888,0.5391288522203349,0.44740881400299265,0.6921863625333657,0.08196721311475409,0.9615384615384616,0.015397368930280209,50,207462,7
191,PD,validation,PDNetwork,191,"M,F",0.2857142857142857,0.15807560137457044,0.5606042222761465,0.4142753472942152,0.6921863625333657,0.08679245283018867,0.8846153846153846,0.02653573453426361,15,207462,7
80,PD,validation,PDNetwork,80,"M,F",0.5335276967930029,0.2079207920792079,0.659366658578015,0.394992125221717,0.6921863625333657,0.11931818181818182,0.8076923076923077,0.02054869383573532,24,207462,7
769,PD,validation,PDNetwork,769,"M,F",0.8104956268221575,0.3925233644859813,0.8092089298713905,0.4649626639422557,0.6921863625333657,0.25925925925925924,0.8076923076923077,0.031029047444462776,16,207462,7
328,PD,validation,PDNetwork,328,"M,F",0.11370262390670553,0.14124293785310735,0.5028512496966756,0.4445349635431766,0.6921863625333657,0.07621951219512195,0.9615384615384616,0.01740759238600731,50,207462,7
204,PD,validation,PDNetwork,204,"M,F",0.5481049562682215,0.2131979695431472,0.6672530939092454,0.39673654308455597,0.6921863625333657,0.12280701754385964,0.8076923076923077,0.024622568860650063,23,207462,7
281,PD,validation,PDNetwork,281,"M,F",0.2565597667638484,0.15282392026578073,0.5448313516136859,0.41269730269730265,0.6921863625333657,0.08363636363636363,0.8846153846153846,0.015280984342098236,50,207462,7
841,PD,validation,PDNetwork,841,"M,F",0.20699708454810495,0.15527950310559005,0.5533244358165494,0.4486549371753454,0.6921863625333657,0.08445945945945946,0.9615384615384616,0.01966547593474388,19,207462,7
31,PD,validation,PDNetwork,31,"M,F",0.6268221574344023,0.23809523809523808,0.6921863625333656,0.3879825262406464,0.6921863625333657,0.14084507042253522,0.7692307692307693,0.023155195638537407,20,207462,7
